date,code,status,reference,name,baseurl,extensions
2019-04-03,LP,final,P8_PV(2019)04-03(LP),"Procès-verbal - Liste de présence - Mercredi, 03 avril 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/04-03/liste_presence/P8_PV(2019)04-03(LP)_FR,pdf|xml|docx
2019-03-27,LP,final,P8_PV(2019)03-27(LP),"Procès-verbal - Liste de présence - Mercredi, 27 mars 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/03-27/liste_presence/P8_PV(2019)03-27(LP)_FR,pdf|xml|docx
2019-03-25,LP,final,P8_PV(2019)03-25(LP),"Procès-verbal - Liste de présence - Lundi, 25 mars 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/03-25/liste_presence/P8_PV(2019)03-25(LP)_FR,pdf|xml|docx
2019-03-13,LP,final,P8_PV(2019)03-13(LP),"Procès-verbal - Liste de présence - Mercredi, 13 mars 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/03-13/liste_presence/P8_PV(2019)03-13(LP)_FR,pdf|xml|docx
2019-02-14,LP,final,P8_PV(2019)02-14(LP),"Procès-verbal - Attendance List - Jeudi, 14 février 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/02-14/liste_presence/P8_PV(2019)02-14(LP)_FR,pdf|xml|docx
2019-02-13,LP,final,P8_PV(2019)02-13(LP),"Procès-verbal - Liste de présence - Mercredi, 13 février 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/02-13/liste_presence/P8_PV(2019)02-13(LP)_FR,pdf|xml|docx
2019-01-31,LP,final,P8_PV(2019)01-31(LP),"Procès-verbal - Liste de présence - Jeudi, 31 janvier 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/01-31/liste_presence/P8_PV(2019)01-31(LP)_FR,pdf|xml|docx
2019-01-17,LP,final,P8_PV(2019)01-17(LP),"Procès-verbal - Liste de présence - Jeudi, 17 janvier 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/01-17/liste_presence/P8_PV(2019)01-17(LP)_FR,pdf|xml|docx
2019-01-16,LP,final,P8_PV(2019)01-16(LP),"Procès-verbal - Liste de présence - Mercredi, 16 janvier 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/01-16/liste_presence/P8_PV(2019)01-16(LP)_FR,pdf|xml|docx
2018-12-12,LP,final,P8_PV(2018)12-12(LP),"Procès-verbal - Liste de présence - Mercredi, 12 décembre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/12-12/liste_presence/P8_PV(2018)12-12(LP)_FR,pdf|xml|docx
2018-12-10,LP,final,P8_PV(2018)12-10(LP),"Procès-verbal - Attendance List - Lundi, 10 décembre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/12-10/liste_presence/P8_PV(2018)12-10(LP)_FR,pdf|xml|docx
2018-11-29,LP,final,P8_PV(2018)11-29(LP),"Procès-verbal - Attendance List - Jeudi, 29 novembre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/11-29/liste_presence/P8_PV(2018)11-29(LP)_FR,pdf|xml|docx
2018-11-28,LP,final,P8_PV(2018)11-28(LP),"Procès-verbal - Attendance List - Mercredi, 28 novembre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/11-28/liste_presence/P8_PV(2018)11-28(LP)_FR,pdf|xml|docx
2018-11-15,LP,final,P8_PV(2018)11-15(LP),"Procès-verbal - Attendance List - Jeudi, 15 novembre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/11-15/liste_presence/P8_PV(2018)11-15(LP)_FR,pdf|xml|docx
2018-11-14,LP,final,P8_PV(2018)11-14(LP),"Procès-verbal - Attendance List - Mercredi, 14 novembre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/11-14/liste_presence/P8_PV(2018)11-14(LP)_FR,pdf|xml|docx
2018-11-13,LP,final,P8_PV(2018)11-13(LP),"Procès-verbal - Attendance List - Mardi, 13 novembre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/11-13/liste_presence/P8_PV(2018)11-13(LP)_FR,pdf|xml|docx
2018-11-12,LP,final,P8_PV(2018)11-12(LP),"Procès-verbal - Attendance List - Lundi, 12 novembre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/11-12/liste_presence/P8_PV(2018)11-12(LP)_FR,pdf|xml|docx
2018-10-25,LP,final,P8_PV(2018)10-25(LP),"Procès-verbal - Attendance List - Jeudi, 25 octobre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/10-25/liste_presence/P8_PV(2018)10-25(LP)_FR,pdf|xml|docx
