name,id,first,last
(The Earl of) Dartmouth,96958,2014-07-02,2018-07-05
Adaktusson,124990,2014-07-01,2018-07-03
Ademov,189525,2017-10-02,2018-07-05
Adinolfi,124831,2014-07-01,2018-07-05
Affronte,124797,2014-07-01,2018-07-05
Agea,124811,2014-07-01,2018-07-04
Agnew,96897,2014-07-01,2018-07-05
Aguilera García,125045,2014-07-01,2018-07-05
Aiuto,124842,2014-07-01,2018-07-05
Aker,99650,2014-07-01,2018-07-05
Albiol Guzmán,125048,2014-07-01,2018-07-05
Albrecht,96736,2014-07-01,2018-06-13
Alex Mayer,185637,2016-12-01,2018-07-05
Ali,34250,2014-07-01,2018-07-05
Aliot,30190,2014-07-01,2017-05-17
Alliot-Marie,1179,2014-07-01,2018-07-05
Andersson,124994,2014-07-01,2018-07-05
Andrej Plenković,112755,2014-07-01,2014-11-13
Andrieu,113892,2014-07-01,2018-07-05
Andrikienė,28276,2016-06-06,2018-06-14
Androulakis,125110,2014-07-01,2018-07-05
Andrus Ansip,124696,2014-09-15,2014-09-18
Anneliese Dodds,124969,2014-07-01,2017-04-06
Annemans,124973,2014-07-01,2018-07-05
Ansip,124696,2014-07-01,2014-10-23
Antonio Tajani,2187,2016-05-12,2017-05-17
Arena,124936,2014-07-01,2018-07-05
Arimont,24922,2014-07-01,2018-07-05
Arnautu,124748,2014-07-01,2018-07-05
Arnott,124958,2014-07-01,2018-07-05
Arthuis,124773,2014-07-01,2018-07-05
Ashworth,28132,2014-07-01,2018-07-05
Assis,28307,2014-07-01,2018-07-05
Atkinson,124938,2014-07-01,2018-07-05
Auken,28161,2018-02-05,2018-07-05
Auštrevičius,124766,2014-07-01,2018-07-05
Ayala Sender,28292,2014-07-01,2018-07-05
Ayuso,4319,2014-07-01,2018-07-04
Bach,97293,2014-07-01,2018-07-05
Balas,124744,2014-07-01,2018-07-05
Balczó,96877,2014-07-01,2018-07-05
Balz,96997,2014-07-01,2018-07-05
Balčytis,96680,2014-07-01,2018-07-04
Barekov,124871,2014-07-15,2018-07-04
Bashir,124956,2014-07-01,2018-07-05
Batten,28497,2014-07-01,2018-07-05
Bay,124760,2014-07-01,2018-07-05
Bayet,125002,2014-07-01,2018-07-05
Bearder,96955,2014-07-01,2018-07-05
Becerra Basterrechea,125040,2014-07-01,2018-07-05
Becker,107041,2014-07-01,2018-07-05
Beghin,124777,2014-07-01,2018-07-05
Belder,4507,2014-07-01,2018-07-05
Belet,28257,2014-07-01,2018-07-04
Bendt Bendtsen,96705,2017-10-02,2018-03-01
Bendtsen,96705,2014-07-01,2018-07-05
Benifei,124867,2014-07-01,2018-07-05
Benito Ziluaga,135490,2015-11-26,2018-07-05
Bergeron,124740,2014-07-01,2018-07-05
Bernd Lange,1909,2016-05-09,2018-03-01
Berès,1985,2014-07-01,2018-07-05
Bettini,124819,2014-07-01,2018-07-05
Beňová,23868,2017-09-11,2018-07-05
Bilbao Barandica,96922,2014-07-01,2018-07-05
Bilde,124771,2014-07-01,2018-07-05
Bizzotto,97198,2014-07-01,2018-07-05
Björk,124992,2014-07-01,2018-07-05
Blanco López,125044,2014-11-24,2018-07-05
Blinkevičiūtė,96681,2014-07-01,2018-07-05
Bocskor,124712,2014-07-01,2018-07-04
Bogdan Andrzej Zdrojewski,124893,2014-07-01,2018-03-01
Bogovič,125004,2014-07-01,2018-07-05
Bonafè,124814,2014-07-01,2018-07-05
Boni,124896,2014-11-24,2018-07-05
Borghezio,21817,2014-07-01,2018-07-05
Borrelli,124796,2014-07-01,2018-07-05
Borzan,112748,2014-07-01,2018-07-05
Bours,124964,2014-07-01,2018-07-04
Boutonnet,124753,2014-07-01,2018-07-05
Bové,96744,2014-07-01,2018-07-05
Boylan,124984,2014-07-01,2018-07-05
Boştinaru,39711,2014-07-01,2018-07-05
Boștinaru,39711,2014-11-24,2015-03-12
Bradbourn,4540,2014-07-01,2014-12-18
Brannen,124954,2014-07-01,2018-06-14
Bresso,28346,2014-07-01,2018-07-05
Briano,124787,2014-07-01,2018-07-05
Briois,124757,2014-07-01,2018-07-05
Brok,1263,2014-07-01,2018-07-04
Buchner,124818,2014-07-01,2018-07-05
