identifier,date,report,desc,title,for,against,abstention,no_show,excused
169314,2024-07-17,,,Proposal for a decision ,,,,695,5
169318,2024-07-17,,,Proposal for a decision (as a whole),,,,695,5
169321,2024-07-17,B10-0007/2024,,§ 3,,,,695,5
169322,2024-07-17,B10-0007/2024,,After § 3,,,,695,5
169325,2024-07-17,B10-0007/2024,,After § 3,78,453,68,695,5
169331,2024-07-17,B10-0007/2024,,After recital B,,,,695,5
169332,2024-07-17,B10-0007/2024,,After recital B,,,,695,5
169333,2024-07-17,,,Motion for a resolution ,,,,695,5
169336,2024-07-17,B10-0005/2024,,After § 3,,,,695,5
169337,2024-07-17,B10-0005/2024,,After § 6,,,,695,5
169338,2024-07-17 12:44:00,B10-0007/2024,,– After § 1 – Am 1,91,468,20,116,5
169340,2024-07-17 12:44:21,B10-0007/2024,,– § 3/1,476,107,42,70,5
169341,2024-07-17,,,§ 3,,,,695,5
169342,2024-07-17 12:44:44,B10-0007/2024,,– After § 3 – Am 6,194,400,53,48,5
169343,2024-07-17 12:45:04,B10-0007/2024,,– After § 3 – Am 7,180,436,30,49,5
169345,2024-07-17 12:45:49,B10-0007/2024,,– § 4/1,456,166,26,47,5
169346,2024-07-17 12:46:05,B10-0007/2024,,– § 4/2,518,47,76,54,5
169347,2024-07-17 12:46:25,B10-0007/2024,,– § 4/3,498,111,52,34,5
169348,2024-07-17 12:46:41,B10-0007/2024,,– § 5 – Am 9,35,583,45,32,5
169350,2024-07-17 12:46:58,B10-0007/2024,,– § 5/1,483,153,32,27,5
169351,2024-07-17 12:47:13,B10-0007/2024,,– § 5/2,450,165,46,34,5
169352,2024-07-17 12:47:29,B10-0007/2024,,– § 5/3,457,133,79,26,5
169353,2024-07-17 12:47:46,B10-0007/2024,,– § 5/4,393,178,75,49,5
169354,2024-07-17 12:48:01,B10-0007/2024,,– § 5/5,468,119,79,29,5
169355,2024-07-17 12:48:15,B10-0007/2024,,– § 5/6,418,168,71,38,5
169356,2024-07-17 12:48:34,B10-0007/2024,,– § 5/7,414,193,62,26,5
169357,2024-07-17 12:48:49,B10-0007/2024,,– After § 8 – Am 10,63,564,42,26,5
169358,2024-07-17 12:49:02,B10-0007/2024,,– After § 8 – Am 11,57,427,177,34,5
169359,2024-07-17 12:49:16,B10-0007/2024,,– After § 8 – Am 12,113,497,58,27,5
169360,2024-07-17 12:49:32,B10-0007/2024,,– After § 9 – Am 13,96,537,44,18,5
169361,2024-07-17 12:49:55,B10-0007/2024,,– Recital E,482,165,22,26,5
169362,2024-07-17 12:50:14,B10-0007/2024,,– Motion for a resolution (as a whole),495,137,47,16,5
169367,2024-07-17 09:09:17,Wednesday’s agenda,,Request by The Left Group,149,251,16,279,5
169368,2024-07-17 09:11:42,Wednesday’s agenda,,Request by the PfE Group,119,337,15,224,5
