mepid,mep,group,voted
6113,(The Earl of) Dartmouth,EFDD,4986
6602,Adaktusson,PPE,5481
6755,Ademov,PPE,2847
6468,Adinolfi,EFDD,7490
6431,Affronte,EFDD,6979
6445,Agea,EFDD,7200
6066,Agnew,EFDD,7367
6651,Aguilera García,S&D,7845
6480,Aiuto,EFDD,7427
6559,Aker,EFDD,5712
6654,Albiol Guzmán,GUE/NGL,6060
5910,Albrecht,Verts/ALE,5726
5682,Ali,ALDE,7296
6451,Aliot,ENF,4009
1340,Alliot-Marie,PPE,7726
6567,Anderson Lucy,S&D,7952
6280,Anderson Martina,GUE/NGL,7132
6606,Andersson,Verts/ALE,7426
6279,Andrieu,S&D,7626
5395,Andrikienė,PPE,4479
6687,Androulakis,S&D,7659
6593,Annemans,ENF,7412
6327,Ansip,ALDE,45
6553,Arena,S&D,7188
1178,Arias Cañete,PPE,50
6594,Arimont,PPE,7903
6382,Arnautu,ENF,7767
6577,Arnott,EFDD,7823
6407,Arthuis,ALDE,7534
5262,Ashworth,PPE,7396
5426,Assis,S&D,7446
6555,Atkinson,ENF,6016
5291,Auken,Verts/ALE,7291
6400,Auštrevičius,ALDE,7567
5411,Ayala Sender,S&D,7768
4742,Ayuso,PPE,6616
6191,Bach,PPE,8012
6378,Balas,S&D,7929
6048,Balczó,NI,7535
6135,Balz,PPE,5275
5866,Balčytis,S&D,6484
6509,Barekov,ECR,4615
6574,Bashir,ECR,6438
5567,Batten,EFDD,5673
6394,Bay,ENF,6970
6611,Bayet,S&D,7820
6110,Bearder,ALDE,7535
6646,Becerra Basterrechea,ALDE,7854
6216,Becker,PPE,7759
6411,Beghin,EFDD,7427
4911,Belder,ECR,7376
5377,Belet,PPE,6871
5885,Bendtsen,PPE,6842
6505,Benifei,S&D,7827
6723,Benito Ziluaga,GUE/NGL,5794
6374,Bergeron,EFDD,7214
3972,Berès,S&D,7199
6456,Bettini,S&D,6182
5173,Beňová,S&D,2731
6089,Bilbao Barandica,ALDE,7611
6405,Bilde,ENF,7686
6179,Bizzotto,ENF,8106
6604,Björk,GUE/NGL,7624
6650,Blanco López,S&D,7954
5867,Blinkevičiūtė,S&D,7883
6343,Bocskor,PPE,7980
6613,Bogovič,PPE,7622
6449,Bonafè,S&D,7363
6535,Boni,PPE,7005
5010,Borghezio,ENF,7697
6430,Borrelli,NI,6974
6264,Borzan,S&D,7643
6583,Bours,EFDD,3812
6387,Boutonnet,ENF,7456
5918,Bové,Verts/ALE,7468
6595,Boylan,GUE/NGL,6569
5768,Boştinaru,S&D,6882
5768,Boștinaru,S&D,579
4944,Bradbourn,ECR,1
6572,Brannen,S&D,7548
5465,Bresso,S&D,7324
6421,Briano,S&D,8139
6391,Briois,ENF,7312
1278,Brok,PPE,6725
6455,Buchner,Verts/ALE,7683
6617,Buda,PPE,7899
4690,Bullmann,S&D,7044
6748,Bullock,EFDD,2807
6507,Buonanno,ENF,3060
5388,Buzek,PPE,7502
5729,Buşoi,PPE,5087
5729,Bușoi,PPE,465
1507,Böge,PPE,7287
5913,Bütikofer,Verts/ALE,6604
6647,Cabezón Ruiz,S&D,7656
6021,Cadec,PPE,7891
6708,Calvet Chambon,ALDE,7680
6081,Campbell Bannerman,ECR,6284
6489,Caputo,S&D,8133
6598,Carthy,GUE/NGL,7391
6590,Carver,NI,7003
5252,Casa,PPE,7716
5341,Caspary,PPE,7722
6446,Castaldo,EFDD,7543
5328,Cavada,ALDE,7459
6605,Ceballos,Verts/ALE,740
5554,Cesa,PPE,5325
6339,Charanzová,ALDE,8022
6386,Chauprade,EFDD,7653
5835,Childers,S&D,7340
6499,Chinnici,S&D,7364
5237,Chountis,GUE/NGL,6286
5284,Christensen,S&D,6735
5236,Christoforou,PPE,7228
6660,Chrysogonos,GUE/NGL,6830
6492,Cicu,PPE,7544
6731,Ciocca,ENF,3610
6406,Cirio,PPE,6794
6600,Clune,PPE,7549
6586,Coburn,EFDD,7126
3800,Coelho,PPE,8015
6083,Cofferati,S&D,7181
6273,Collin-Langen,PPE,7245
6573,Collins,EFDD,5586
6765,Colombier,ENF,2366
5948,Comi,PPE,6600
6587,Comodini Cachia,PPE,4778
5861,Corazza Bildt,PPE,6700
4628,Corbett,S&D,7398
4761,Cornillet,ALDE,2437
6494,Corrao,EFDD,7754
6085,Costa,S&D,7328
6701,Couso Permuy,GUE/NGL,7284
6051,Cozzolino,S&D,7442
5358,Cramer,Verts/ALE,7418
5661,Creţu,S&D,44
6616,Cristea,S&D,7258
6548,Csáky,PPE,7671
5490,Czarnecki,ECR,7263
6719,Czesak,ECR,7202
6472,D'Amato,EFDD,7622
6384,D'Ornano,EFDD,7502
6589,Dalli,S&D,7710
6712,Dalton,ECR,7326
6730,Dalunde,Verts/ALE,4754
6570,Dance,S&D,7823
5921,Danjean,PPE,7611
6458,Danti,S&D,8126
6194,Dantin,PPE,7355
6172,Dati,PPE,6734
6226,De Backer,ALDE,2801
6062,De Castro,S&D,6641
6496,De Masi,GUE/NGL,4400
6437,De Monte,S&D,8120
6364,Delahaye,PPE,7870
6345,Deli,PPE,7872
6040,Delli,Verts/ALE,7910
6410,Delvaux,S&D,7393
6410,Delvaux-Stehres,S&D,5
6291,Demesmaeker,ECR,7223
5816,Denanot,S&D,5689
1060,Deprez,ALDE,7370
6763,Detjen,S&D,2955
5998,Deutsch,PPE,5183
4960,Deva,ECR,4976
5350,Deß,PPE,8106
6439,Diaconu,ALDE,6180
6762,Didier,PPE,2749
6340,Dlabajová,ALDE,7891
6106,Dodds,NI,2487
DUPLICATE,Dodds,NI,13
6588,Dodds Anneliese,S&D,3618
6106,Dodds Diane,NI,3877
6516,Dohrmann,ECR,7174
5601,Dombrovskis,PPE,45
6481,Donchev,PPE,95
5960,Dorfmann,PPE,8015
6420,Drăghici,S&D,4709
6538,Duda,ECR,606
6579,Duncan,ECR,4046
6324,Durand,Verts/ALE,7914
6511,Dzhambazki,ECR,7841
5515,Díaz de Mera García Consuegra,PPE,6854
5829,Dăncilă,S&D,3831
6642,Echenique,GUE/NGL,476
6501,Eck,GUE/NGL,7818
5348,Ehler,PPE,6944
5899,Eickhout,Verts/ALE,7128
6741,Elissen,ENF,3027
6047,Engel,PPE,6792
6703,Engström,Verts/ALE,5559
6669,Epitideios,NI,7608
6342,Erdős,PPE,7640
6554,Eriksson,Verts/ALE,2855
6024,Ernst,GUE/NGL,7119
6014,Ertug,S&D,7514
5983,Estaràs Ferragut,PPE,7176
6569,Etheridge,EFDD,6050
4954,Evans,Verts/ALE,7059
6413,Evi,EFDD,8010
6080,Fajon,S&D,6755
4929,Farage,EFDD,3435
6679,Faria,ALDE,7430
6601,Federley,ALDE,7360
