epid,firstname,lastname,active,start,end,birthdate,country,gender,eugroup,party,email,twitter,term,voteid
262021,Hanna,GRONKIEWICZ-WALTZ,1,2024-10-10,,1952-11-04,pl,,EPP,Platforma Obywatelska,,,10,262021
261797,Christophe,BAY,1,2024-09-27,,1962-09-06,fr,,Patriots,Rassemblement national,,,10,
261796,Séverine,WERBROUCK,1,2024-09-27,,1978-10-31,fr,,Patriots,Rassemblement national,,,10,
261038,Tomáš,KUBÍN,1,2024-08-01,,1962-07-24,cz,,Patriots,ANO 2011,,,10,
260724,Csaba,DÖMÖTÖR,1,2024-09-22,,1982-09-13,hu,,Patriots,Fidesz-Magyar Polgári Szövetség-Kereszténydemokrata Néppárt,,,10,
260035,Marko,VEŠLIGAJ,1,2024-09-05,,,hr,,S&D,Socijaldemokratska partija Hrvatske,,,10,
257727,Pierfrancesco,MARAN,1,2024-07-16,,1980-05-27,it,,S&D,Partito Democratico,,,10,
257457,Zsuzsanna,BORVENDÉG,1,2024-07-16,,1974-11-04,hu,,ESN,Mi Hazánk Mozgalom,,,10,
257438,Anouk,VAN BRUG,1,2024-07-16,,1992-09-14,nl,,Renew,Volkspartij voor Vrijheid en Democratie,,,10,
257437,Catarina,VIEIRA,1,2024-07-16,,1996-05-14,nl,,Greens/EFA,GroenLinks,,,10,
257301,Cynthia,NÍ MHURCHÚ,1,2024-07-16,,,ie,,Renew,Fianna Fáil Party,,,10,
257300,Michael,MCNAMARA,1,2024-07-16,,1974-03-01,ie,,Renew,Independent,,,10,
257299,Kathleen,FUNCHION,1,2024-07-16,,1981-04-22,ie,,GUE/NGL,Sinn Féin,,,10,
257298,Ciaran,MULLOOLY,1,2024-07-16,,1966-09-04,ie,,Renew,Independent,,,10,
257297,Barry,COWEN,1,2024-07-16,,1967-08-28,ie,,Renew,Fianna Fáil Party,,,10,
257296,Nina,CARBERRY,1,2024-07-16,,1984-07-21,ie,,EPP,Fine Gael Party,,,10,
257262,Rada,LAYKOVA,1,2024-07-16,,1990-04-03,bg,,ESN,Revival,,,10,
257261,Ilia,LAZAROV,1,2024-07-16,,1965-09-19,bg,,EPP,Union of Democratic Forces,,,10,
257260,Petar,VOLGIN,1,2024-07-16,,1969-09-28,bg,,ESN,Revival,,,10,
257259,Nikola,MINCHEV,1,2024-07-16,,1987-09-13,bg,,Renew,We continue the change – Democratic Bulgaria,,,10,
257258,Ivaylo,VALCHEV,1,2024-07-16,,1972-01-09,bg,,ECR,There Is Such a People,,,10,
257257,Hristo,PETROV,1,2024-07-16,,1979-12-19,bg,,Renew,We continue the change – Democratic Bulgaria,,,10,
257256,Taner,KABILOV,1,2024-07-16,,1987-04-28,bg,,Renew,Movement for Rights and Freedoms,,,10,
257255,Stanislav,STOYANOV,1,2024-07-16,,1981-04-05,bg,,ESN,Revival,,,10,
257238,Aodhán,Ó RÍORDÁIN,1,2024-07-16,,1976-07-22,ie,,S&D,Labour Party,,,10,
257237,Regina,DOHERTY,1,2024-07-16,,1971-01-26,ie,,EPP,Fine Gael Party,,,10,
257170,Sandro,RUOTOLO,1,2024-07-16,,1955-07-09,it,,S&D,Partito Democratico,,,10,
257169,Annalisa,CORRADO,1,2024-07-16,,1973-09-08,it,,S&D,Partito Democratico,,,10,
257163,Francesco,TORSELLI,1,2024-07-16,,1976-03-09,it,,ECR,FRATELLI D' ITALIA,,,10,
257160,Marco,TARQUINIO,1,2024-07-16,,1958-03-16,it,,S&D,Partito Democratico,,,10,
257155,Danilo,DELLA VALLE,1,2024-07-16,,1983-02-01,it,,GUE/NGL,Movimento 5 Stelle,,,10,
257151,Letizia,MORATTI,1,2024-07-16,,1949-11-26,it,,EPP,Forza Italia,,,10,
257150,Michele,PICARO,1,2024-07-16,,1981-05-15,it,,ECR,FRATELLI D' ITALIA,,,10,
257149,Lara,MAGONI,1,2024-07-16,,1969-01-29,it,,ECR,FRATELLI D' ITALIA,,,10,
257148,Raffaele,TOPO,1,2024-07-16,,1965-03-02,it,,S&D,Partito Democratico,,,10,
257147,Alessandro,CIRIANI,1,2024-07-16,,1970-08-02,it,,ECR,FRATELLI D' ITALIA,,,10,
257145,Daniele,POLATO,1,2024-07-16,,1975-06-04,it,,ECR,FRATELLI D' ITALIA,,,10,
257144,Paolo,INSELVINI,1,2024-07-16,,1994-10-05,it,,ECR,FRATELLI D' ITALIA,,,10,
257143,Mariateresa,VIVALDINI,1,2024-07-16,,1967-11-22,it,,ECR,FRATELLI D' ITALIA,,,10,
257140,Carolina,MORACE,1,2024-07-16,,1964-02-05,it,,GUE/NGL,Movimento 5 Stelle,,,10,
257139,Benedetta,SCUDERI,1,2024-07-17,,1991-09-08,it,,Greens/EFA,Europa Verde - Verdi,,,10,
257138,Giuseppe,ANTOCI,1,2024-07-16,,1968-01-11,it,,GUE/NGL,Movimento 5 Stelle,,,10,
257137,Marco,FALCONE,1,2024-07-16,,1971-01-05,it,,EPP,Forza Italia,,,10,
