date,code,status,reference,name,baseurl,extensions
2019-03-14,minute,final,P8_PV(2019)03-14,"Procès-verbal - Séance plénière - Jeudi, 14 mars 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/03-14/liste_presence/P8_PV(2019)03-14_FR,pdf|xml|docx
2019-03-13,minute,final,P8_PV(2019)03-13,"Procès-verbal - Séance plénière - Mercredi, 13 mars 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/03-13/liste_presence/P8_PV(2019)03-13_FR,pdf|xml|docx
2019-03-12,minute,final,P8_PV(2019)03-12,"Procès-verbal - Séance plénière - Mardi, 12 mars 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/03-12/liste_presence/P8_PV(2019)03-12_FR,pdf|xml|docx
2019-02-11,minute,final,P8_PV(2019)02-11,"Procès-verbal - Séance plénière - Lundi, 11 février 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/02-11/liste_presence/P8_PV(2019)02-11_FR,pdf|xml|docx
2019-01-17,minute,final,P8_PV(2019)01-17,"Procès-verbal - Séance plénière - Jeudi, 17 janvier 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/01-17/liste_presence/P8_PV(2019)01-17_FR,pdf|xml|docx
2019-01-16,minute,final,P8_PV(2019)01-16,"Procès-verbal - Séance plénière - Mercredi, 16 janvier 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/01-16/liste_presence/P8_PV(2019)01-16_FR,pdf|xml|docx
2018-12-12,minute,final,P8_PV(2018)12-12,"Procès-verbal - Séance plénière - Mercredi, 12 décembre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/12-12/liste_presence/P8_PV(2018)12-12_FR,pdf|xml|docx
2018-12-10,minute,final,P8_PV(2018)12-10,"Procès-verbal - Séance plénière - Lundi, 10 décembre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/12-10/liste_presence/P8_PV(2018)12-10_FR,pdf|xml|docx
2018-11-29,minute,final,P8_PV(2018)11-29,"Procès-verbal - Séance plénière - Jeudi, 29 novembre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/11-29/liste_presence/P8_PV(2018)11-29_FR,pdf|xml|docx
2018-11-28,minute,final,P8_PV(2018)11-28,"Procès-verbal - Séance plénière - Mercredi, 28 novembre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/11-28/liste_presence/P8_PV(2018)11-28_FR,pdf|xml|docx
2018-11-15,minute,final,P8_PV(2018)11-15,"Procès-verbal - Séance plénière - Jeudi, 15 novembre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/11-15/liste_presence/P8_PV(2018)11-15_FR,pdf|xml|docx
2018-11-14,minute,final,P8_PV(2018)11-14,"Procès-verbal - Séance plénière - Mercredi, 14 novembre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/11-14/liste_presence/P8_PV(2018)11-14_FR,pdf|xml|docx
2018-11-13,minute,final,P8_PV(2018)11-13,"Procès-verbal - Séance plénière - Mardi, 13 novembre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/11-13/liste_presence/P8_PV(2018)11-13_FR,pdf|xml|docx
2018-11-12,minute,final,P8_PV(2018)11-12,"Procès-verbal - Séance plénière - Lundi, 12 novembre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/11-12/liste_presence/P8_PV(2018)11-12_FR,pdf|xml|docx
2018-10-25,minute,final,P8_PV(2018)10-25,"Procès-verbal - Séance plénière - Jeudi, 25 octobre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/10-25/liste_presence/P8_PV(2018)10-25_FR,pdf|xml|docx
2018-10-24,minute,final,P8_PV(2018)10-24,"Procès-verbal - Séance plénière - Mercredi, 24 octobre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/10-24/liste_presence/P8_PV(2018)10-24_FR,pdf|xml|docx
2018-10-23,minute,final,P8_PV(2018)10-23,"Procès-verbal - Séance plénière - Mardi, 23 octobre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/10-23/liste_presence/P8_PV(2018)10-23_FR,pdf|xml|docx
2018-10-22,minute,final,P8_PV(2018)10-22,"Procès-verbal - Séance plénière - Lundi, 22 octobre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/10-22/liste_presence/P8_PV(2018)10-22_FR,pdf|xml|docx
2018-10-04,minute,final,P8_PV(2018)10-04,"Procès-verbal - Séance plénière - Jeudi, 04 octobre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/10-04/liste_presence/P8_PV(2018)10-04_FR,pdf|xml|docx
2018-10-03,minute,final,P8_PV(2018)10-03,"Procès-verbal - Séance plénière - Mercredi, 03 octobre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/10-03/liste_presence/P8_PV(2018)10-03_FR,pdf|xml|docx
2018-10-02,minute,final,P8_PV(2018)10-02,"Procès-verbal - Séance plénière - Mardi, 02 octobre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/10-02/liste_presence/P8_PV(2018)10-02_FR,pdf|xml|docx
2018-10-01,minute,final,P8_PV(2018)10-01,"Procès-verbal - Séance plénière - Lundi, 01 octobre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/10-01/liste_presence/P8_PV(2018)10-01_FR,pdf|xml|docx
2018-09-13,minute,final,P8_PV(2018)09-13,"Procès-verbal - Séance plénière - Jeudi, 13 septembre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/09-13/liste_presence/P8_PV(2018)09-13_FR,pdf|xml|docx
2018-09-12,minute,final,P8_PV(2018)09-12,"Procès-verbal - Séance plénière - Mercredi, 12 septembre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/09-12/liste_presence/P8_PV(2018)09-12_FR,pdf|xml|docx
2018-09-11,minute,final,P8_PV(2018)09-11,"Procès-verbal - Séance plénière - Mardi, 11 septembre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/09-11/liste_presence/P8_PV(2018)09-11_FR,pdf|xml|docx
2018-09-10,minute,final,P8_PV(2018)09-10,"Procès-verbal - Séance plénière - Lundi, 10 septembre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/09-10/liste_presence/P8_PV(2018)09-10_FR,pdf|xml|docx
2018-07-05,minute,final,P8_PV(2018)07-05,"Procès-verbal - Séance plénière - Jeudi, 05 juillet 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/07-05/liste_presence/P8_PV(2018)07-05_FR,pdf|xml|docx
2018-07-04,minute,final,P8_PV(2018)07-04,"Procès-verbal - Séance plénière - Mercredi, 04 juillet 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/07-04/liste_presence/P8_PV(2018)07-04_FR,pdf|xml|docx
2018-07-03,minute,final,P8_PV(2018)07-03,"Procès-verbal - Séance plénière - Mardi, 03 juillet 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/07-03/liste_presence/P8_PV(2018)07-03_FR,pdf|xml|docx
2018-07-02,minute,final,P8_PV(2018)07-02,"Procès-verbal - Séance plénière - Lundi, 02 juillet 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/07-02/liste_presence/P8_PV(2018)07-02_FR,pdf|xml|docx
2018-06-14,minute,final,P8_PV(2018)06-14,"Procès-verbal - Séance plénière - Jeudi, 14 juin 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/06-14/liste_presence/P8_PV(2018)06-14_FR,pdf|xml|docx
2018-06-13,minute,final,P8_PV(2018)06-13,"Procès-verbal - Séance plénière - Mercredi, 13 juin 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/06-13/liste_presence/P8_PV(2018)06-13_FR,pdf|xml|docx
2018-06-12,minute,final,P8_PV(2018)06-12,"Procès-verbal - Séance plénière - Mardi, 12 juin 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/06-12/liste_presence/P8_PV(2018)06-12_FR,pdf|xml|docx
2018-06-11,minute,final,P8_PV(2018)06-11,"Procès-verbal - Séance plénière - Lundi, 11 juin 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/06-11/liste_presence/P8_PV(2018)06-11_FR,pdf|xml|docx
2018-05-31,minute,final,P8_PV(2018)05-31,"Procès-verbal - Séance plénière - Jeudi, 31 mai 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/05-31/liste_presence/P8_PV(2018)05-31_FR,pdf|xml|docx
