date,code,status,reference,name,baseurl,extensions
2019-04-17,prov_minute,prov,P8_PV-PROV(2019)04-17,"Procès-verbal - Séance plénière - Mercredi, 17 avril 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/04-17/pv_provisoire/P8_PV-PROV(2019)04-17_FR,pdf|xml|docx
2019-04-16,prov_minute,prov,P8_PV-PROV(2019)04-16,"Procès-verbal - Séance plénière - Mardi, 16 avril 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/04-16/pv_provisoire/P8_PV-PROV(2019)04-16_FR,pdf|xml|docx
2019-04-15,prov_minute,prov,P8_PV-PROV(2019)04-15,"Procès-verbal - Séance plénière - Lundi, 15 avril 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/04-15/pv_provisoire/P8_PV-PROV(2019)04-15_FR,pdf|xml|docx
2019-04-04,prov_minute,prov,P8_PV-PROV(2019)04-04,"Procès-verbal - Séance plénière - Jeudi, 04 avril 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/04-04/pv_provisoire/P8_PV-PROV(2019)04-04_FR,pdf|xml|docx
2019-04-03,prov_minute,prov,P8_PV-PROV(2019)04-03,"Procès-verbal - Séance plénière - Mercredi, 03 avril 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/04-03/pv_provisoire/P8_PV-PROV(2019)04-03_FR,pdf|xml|docx
2019-03-28,prov_minute,prov,P8_PV-PROV(2019)03-28,"Procès-verbal - Séance plénière - Jeudi, 28 mars 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/03-28/pv_provisoire/P8_PV-PROV(2019)03-28_FR,pdf|xml|docx
2019-03-27,prov_minute,prov,P8_PV-PROV(2019)03-27,"Procès-verbal - Séance plénière - Mercredi, 27 mars 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/03-27/pv_provisoire/P8_PV-PROV(2019)03-27_FR,pdf|xml|docx
2019-03-26,prov_minute,prov,P8_PV-PROV(2019)03-26,"Procès-verbal - Séance plénière - Mardi, 26 mars 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/03-26/pv_provisoire/P8_PV-PROV(2019)03-26_FR,pdf|xml|docx
2019-03-25,prov_minute,prov,P8_PV-PROV(2019)03-25,"Procès-verbal - Séance plénière - Lundi, 25 mars 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/03-25/pv_provisoire/P8_PV-PROV(2019)03-25_FR,pdf|xml|docx
2019-03-14,prov_minute,prov,P8_PV-PROV(2019)03-14,"Procès-verbal - Séance plénière - Jeudi, 14 mars 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/03-14/pv_provisoire/P8_PV-PROV(2019)03-14_FR,pdf|xml|docx
2019-03-13,prov_minute,prov,P8_PV-PROV(2019)03-13,"Procès-verbal - Séance plénière - Mercredi, 13 mars 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/03-13/pv_provisoire/P8_PV-PROV(2019)03-13_FR,pdf|xml|docx
2019-03-12,prov_minute,prov,P8_PV-PROV(2019)03-12,"Procès-verbal - Séance plénière - Mardi, 12 mars 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/03-12/pv_provisoire/P8_PV-PROV(2019)03-12_FR,pdf|xml|docx
2019-03-11,prov_minute,prov,P8_PV-PROV(2019)03-11,"Procès-verbal - Séance plénière - Lundi, 11 mars 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/03-11/pv_provisoire/P8_PV-PROV(2019)03-11_FR,pdf|xml|docx
2019-02-13,prov_minute,prov,P8_PV-PROV(2019)02-13,"Procès-verbal - Séance plénière - Mercredi, 13 février 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/02-13/pv_provisoire/P8_PV-PROV(2019)02-13_FR,pdf|xml|docx
2019-02-12,prov_minute,prov,P8_PV-PROV(2019)02-12,"Procès-verbal - Séance plénière - Mardi, 12 février 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/02-12/pv_provisoire/P8_PV-PROV(2019)02-12_FR,pdf|xml|docx
2019-02-11,prov_minute,prov,P8_PV-PROV(2019)02-11,"Procès-verbal - Séance plénière - Lundi, 11 février 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/02-11/pv_provisoire/P8_PV-PROV(2019)02-11_FR,pdf|xml|docx
2019-01-31,prov_minute,prov,P8_PV-PROV(2019)01-31,"Procès-verbal - Séance plénière - Jeudi, 31 janvier 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/01-31/pv_provisoire/P8_PV-PROV(2019)01-31_FR,pdf|xml|docx
2019-01-30,prov_minute,prov,P8_PV-PROV(2019)01-30,"Procès-verbal - Séance plénière - Mercredi, 30 janvier 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/01-30/pv_provisoire/P8_PV-PROV(2019)01-30_FR,pdf|xml|docx
2019-01-16,prov_minute,prov,P8_PV-PROV(2019)01-16,"Procès-verbal - Séance plénière - Mercredi, 16 janvier 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/01-16/pv_provisoire/P8_PV-PROV(2019)01-16_FR,pdf|xml|docx
2019-01-15,prov_minute,prov,P8_PV-PROV(2019)01-15,"Procès-verbal - Séance plénière - Mardi, 15 janvier 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/01-15/pv_provisoire/P8_PV-PROV(2019)01-15_FR,pdf|xml|docx
