date,code,status,reference,name,baseurl,extensions
2019-04-17,RCV,final,P8_PV(2019)04-17(RCV),"Procès-verbal- Votes par appel nominal - Mercredi, 17 avril 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/04-17/liste_presence/P8_PV(2019)04-17(RCV)_XC,pdf|xml|docx
2019-04-16,RCV,final,P8_PV(2019)04-16(RCV),"Procès-verbal- Votes par appel nominal - Mardi, 16 avril 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/04-16/liste_presence/P8_PV(2019)04-16(RCV)_XC,pdf|xml|docx
2019-04-15,RCV,final,P8_PV(2019)04-15(RCV),"Procès-verbal- Votes par appel nominal - Lundi, 15 avril 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/04-15/liste_presence/P8_PV(2019)04-15(RCV)_XC,pdf|xml|docx
2019-04-04,RCV,final,P8_PV(2019)04-04(RCV),"Procès-verbal- Votes par appel nominal - Jeudi, 04 avril 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/04-04/liste_presence/P8_PV(2019)04-04(RCV)_XC,pdf|xml|docx
2019-04-03,RCV,final,P8_PV(2019)04-03(RCV),"Procès-verbal- Votes par appel nominal - Mercredi, 03 avril 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/04-03/liste_presence/P8_PV(2019)04-03(RCV)_XC,pdf|xml|docx
2019-03-28,RCV,final,P8_PV(2019)03-28(RCV),"Procès-verbal- Votes par appel nominal - Jeudi, 28 mars 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/03-28/liste_presence/P8_PV(2019)03-28(RCV)_XC,pdf|xml|docx
2019-03-27,RCV,final,P8_PV(2019)03-27(RCV),"Procès-verbal- Votes par appel nominal - Mercredi, 27 mars 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/03-27/liste_presence/P8_PV(2019)03-27(RCV)_XC,pdf|xml|docx
2019-03-26,RCV,final,P8_PV(2019)03-26(RCV),"Procès-verbal- Votes par appel nominal - Mardi, 26 mars 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/03-26/liste_presence/P8_PV(2019)03-26(RCV)_XC,pdf|xml|docx
2019-03-25,RCV,final,P8_PV(2019)03-25(RCV),"Procès-verbal- Votes par appel nominal - Lundi, 25 mars 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/03-25/liste_presence/P8_PV(2019)03-25(RCV)_XC,pdf|xml|docx
2019-03-14,RCV,final,P8_PV(2019)03-14(RCV),"Procès-verbal- Votes par appel nominal - Jeudi, 14 mars 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/03-14/liste_presence/P8_PV(2019)03-14(RCV)_XC,pdf|xml|docx
2019-03-13,RCV,final,P8_PV(2019)03-13(RCV),"Procès-verbal- Votes par appel nominal - Mercredi, 13 mars 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/03-13/liste_presence/P8_PV(2019)03-13(RCV)_XC,pdf|xml|docx
2019-03-12,RCV,final,P8_PV(2019)03-12(RCV),"Procès-verbal- Votes par appel nominal - Mardi, 12 mars 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/03-12/liste_presence/P8_PV(2019)03-12(RCV)_XC,pdf|xml|docx
2019-03-11,RCV,final,P8_PV(2019)03-11(RCV),"Procès-verbal- Votes par appel nominal - Lundi, 11 mars 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/03-11/liste_presence/P8_PV(2019)03-11(RCV)_XC,pdf|xml|docx
2019-02-14,RCV,final,P8_PV(2019)02-14(RCV),"Procès-verbal- Votes par appel nominal - Jeudi, 14 février 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/02-14/liste_presence/P8_PV(2019)02-14(RCV)_XC,pdf|xml|docx
2019-02-13,RCV,final,P8_PV(2019)02-13(RCV),"Procès-verbal- Votes par appel nominal - Mercredi, 13 février 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/02-13/liste_presence/P8_PV(2019)02-13(RCV)_XC,pdf|xml|docx
2019-02-12,RCV,final,P8_PV(2019)02-12(RCV),"Procès-verbal- Votes par appel nominal - Mardi, 12 février 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/02-12/liste_presence/P8_PV(2019)02-12(RCV)_XC,pdf|xml|docx
2019-02-11,RCV,final,P8_PV(2019)02-11(RCV),"Procès-verbal- Votes par appel nominal - Lundi, 11 février 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/02-11/liste_presence/P8_PV(2019)02-11(RCV)_XC,pdf|xml|docx
2019-01-31,RCV,final,P8_PV(2019)01-31(RCV),"Procès-verbal- Votes par appel nominal - Jeudi, 31 janvier 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/01-31/liste_presence/P8_PV(2019)01-31(RCV)_XC,pdf|xml|docx
2019-01-30,RCV,final,P8_PV(2019)01-30(RCV),"Procès-verbal- Votes par appel nominal - Mercredi, 30 janvier 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/01-30/liste_presence/P8_PV(2019)01-30(RCV)_XC,pdf|xml|docx
2019-01-17,RCV,final,P8_PV(2019)01-17(RCV),"Procès-verbal- Votes par appel nominal - Jeudi, 17 janvier 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/01-17/liste_presence/P8_PV(2019)01-17(RCV)_XC,pdf|xml|docx
2019-01-16,RCV,final,P8_PV(2019)01-16(RCV),"Procès-verbal- Votes par appel nominal - Mercredi, 16 janvier 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/01-16/liste_presence/P8_PV(2019)01-16(RCV)_XC,pdf|xml|docx
2019-01-15,RCV,final,P8_PV(2019)01-15(RCV),"Procès-verbal- Votes par appel nominal - Mardi, 15 janvier 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/01-15/liste_presence/P8_PV(2019)01-15(RCV)_XC,pdf|xml|docx
2019-01-14,RCV,final,P8_PV(2019)01-14(RCV),"Procès-verbal- Votes par appel nominal - Lundi, 14 janvier 2019",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2019/01-14/liste_presence/P8_PV(2019)01-14(RCV)_XC,pdf|xml|docx
2018-12-13,RCV,final,P8_PV(2018)12-13(RCV),"Procès-verbal- Votes par appel nominal - Jeudi, 13 décembre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/12-13/liste_presence/P8_PV(2018)12-13(RCV)_XC,pdf|xml|docx
2018-12-12,RCV,final,P8_PV(2018)12-12(RCV),"Procès-verbal- Votes par appel nominal - Mercredi, 12 décembre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/12-12/liste_presence/P8_PV(2018)12-12(RCV)_XC,pdf|xml|docx
2018-12-11,RCV,final,P8_PV(2018)12-11(RCV),"Procès-verbal- Votes par appel nominal - Mardi, 11 décembre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/12-11/liste_presence/P8_PV(2018)12-11(RCV)_XC,pdf|xml|docx
2018-12-10,RCV,final,P8_PV(2018)12-10(RCV),"Procès-verbal- Votes par appel nominal - Lundi, 10 décembre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/12-10/liste_presence/P8_PV(2018)12-10(RCV)_XC,pdf|xml|docx
2018-11-29,RCV,final,P8_PV(2018)11-29(RCV),"Procès-verbal- Votes par appel nominal - Jeudi, 29 novembre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/11-29/liste_presence/P8_PV(2018)11-29(RCV)_XC,pdf|xml|docx
2018-11-28,RCV,final,P8_PV(2018)11-28(RCV),"Procès-verbal- Votes par appel nominal - Mercredi, 28 novembre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/11-28/liste_presence/P8_PV(2018)11-28(RCV)_XC,pdf|xml|docx
2018-11-15,RCV,final,P8_PV(2018)11-15(RCV),"Procès-verbal- Votes par appel nominal - Jeudi, 15 novembre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/11-15/liste_presence/P8_PV(2018)11-15(RCV)_XC,pdf|xml|docx
2018-11-14,RCV,final,P8_PV(2018)11-14(RCV),"Procès-verbal- Votes par appel nominal - Mercredi, 14 novembre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/11-14/liste_presence/P8_PV(2018)11-14(RCV)_XC,pdf|xml|docx
2018-11-13,RCV,final,P8_PV(2018)11-13(RCV),"Procès-verbal- Votes par appel nominal - Mardi, 13 novembre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/11-13/liste_presence/P8_PV(2018)11-13(RCV)_XC,pdf|xml|docx
2018-11-12,RCV,final,P8_PV(2018)11-12(RCV),"Procès-verbal- Votes par appel nominal - Lundi, 12 novembre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/11-12/liste_presence/P8_PV(2018)11-12(RCV)_XC,pdf|xml|docx
2018-10-25,RCV,final,P8_PV(2018)10-25(RCV),"Procès-verbal- Votes par appel nominal - Jeudi, 25 octobre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/10-25/liste_presence/P8_PV(2018)10-25(RCV)_XC,pdf|xml|docx
2018-10-24,RCV,final,P8_PV(2018)10-24(RCV),"Procès-verbal- Votes par appel nominal - Mercredi, 24 octobre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/10-24/liste_presence/P8_PV(2018)10-24(RCV)_XC,pdf|xml|docx
2018-10-23,RCV,final,P8_PV(2018)10-23(RCV),"Procès-verbal- Votes par appel nominal - Mardi, 23 octobre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/10-23/liste_presence/P8_PV(2018)10-23(RCV)_XC,pdf|xml|docx
2018-10-22,RCV,final,P8_PV(2018)10-22(RCV),"Procès-verbal- Votes par appel nominal - Lundi, 22 octobre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/10-22/liste_presence/P8_PV(2018)10-22(RCV)_XC,pdf|xml|docx
2018-10-04,RCV,final,P8_PV(2018)10-04(RCV),"Procès-verbal- Votes par appel nominal - Jeudi, 04 octobre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/10-04/liste_presence/P8_PV(2018)10-04(RCV)_XC,pdf|xml|docx
2018-10-03,RCV,final,P8_PV(2018)10-03(RCV),"Procès-verbal- Votes par appel nominal - Mercredi, 03 octobre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/10-03/liste_presence/P8_PV(2018)10-03(RCV)_XC,pdf|xml|docx
2018-10-02,RCV,final,P8_PV(2018)10-02(RCV),"Procès-verbal- Votes par appel nominal - Mardi, 02 octobre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/10-02/liste_presence/P8_PV(2018)10-02(RCV)_XC,pdf|xml|docx
2018-10-01,RCV,final,P8_PV(2018)10-01(RCV),"Procès-verbal- Votes par appel nominal - Lundi, 01 octobre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/10-01/liste_presence/P8_PV(2018)10-01(RCV)_XC,pdf|xml|docx
2018-09-13,RCV,final,P8_PV(2018)09-13(RCV),"Procès-verbal- Votes par appel nominal - Jeudi, 13 septembre 2018",http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2018/09-13/liste_presence/P8_PV(2018)09-13(RCV)_XC,pdf|xml|docx
