mep,mepid
(The Earl of) Dartmouth,6113
Adaktusson,6602
Ademov,6755
Adinolfi,6468
Affronte,6431
Agea,6445
Agnew,6066
Aguilera García,6651
Aiuto,6480
Aker,6559
Albiol Guzmán,6654
Albrecht,5910
Ali,5682
Aliot,6451
Alliot-Marie,1340
Anderson Lucy,6567
Anderson Martina,6280
Andersson,6606
Andrieu,6279
Andrikienė,5395
Androulakis,6687
Annemans,6593
Ansip,6327
Arena,6553
Arias Cañete,1178
Arimont,6594
Arnautu,6382
Arnott,6577
Arthuis,6407
Ashworth,5262
Assis,5426
Atkinson,6555
Auken,5291
Auštrevičius,6400
Ayala Sender,5411
Ayuso,4742
Bach,6191
Balas,6378
Balczó,6048
Balz,6135
Balčytis,5866
Barekov,6509
Bashir,6574
Batten,5567
Bay,6394
Bayet,6611
Bearder,6110
Becerra Basterrechea,6646
Becker,6216
Beghin,6411
Belder,4911
Belet,5377
Bendtsen,5885
Benifei,6505
Benito Ziluaga,6723
Bergeron,6374
Berès,3972
Bettini,6456
Beňová,5173
Bilbao Barandica,6089
Bilde,6405
Bizzotto,6179
Björk,6604
Blanco López,6650
Blinkevičiūtė,5867
Bocskor,6343
Bogovič,6613
Bonafè,6449
Boni,6535
Borghezio,5010
Borrelli,6430
Borzan,6264
Bours,6583
Boutonnet,6387
Bové,5918
Boylan,6595
Boştinaru,5768
Boștinaru,5768
Bradbourn,4944
Brannen,6572
Bresso,5465
Briano,6421
Briois,6391
Brok,1278
Buchner,6455
Buda,6617
Bullmann,4690
Bullock,6748
Buonanno,6507
Buzek,5388
Buşoi,5729
Bușoi,5729
Böge,1507
Bütikofer,5913
Cabezón Ruiz,6647
Cadec,6021
Calvet Chambon,6708
Campbell Bannerman,6081
Caputo,6489
Carthy,6598
Carver,6590
Casa,5252
Caspary,5341
Castaldo,6446
Cavada,5328
Ceballos,6605
Cesa,5554
Charanzová,6339
Chauprade,6386
Childers,5835
Chinnici,6499
Chountis,5237
Christensen,5284
Christoforou,5236
Chrysogonos,6660
Cicu,6492
Ciocca,6731
Cirio,6406
Clune,6600
Coburn,6586
Coelho,3800
Cofferati,6083
Collin-Langen,6273
Collins,6573
Colombier,6765
Comi,5948
Comodini Cachia,6587
Corazza Bildt,5861
Corbett,4628
Cornillet,4761
Corrao,6494
Costa,6085
Couso Permuy,6701
Cozzolino,6051
Cramer,5358
Creţu,5661
Cristea,6616
Csáky,6548
Czarnecki,5490
Czesak,6719
D'Amato,6472
D'Ornano,6384
Dalli,6589
Dalton,6712
Dalunde,6730
Dance,6570
Danjean,5921
Danti,6458
Dantin,6194
Dati,6172
De Backer,6226
De Castro,6062
De Masi,6496
De Monte,6437
Delahaye,6364
Deli,6345
Delli,6040
Delvaux,6410
Delvaux-Stehres,6410
Demesmaeker,6291
Denanot,5816
Deprez,1060
Detjen,6763
Deutsch,5998
Deva,4960
Deß,5350
Diaconu,6439
Didier,6762
Dlabajová,6340
Dodds,6106
Dodds Anneliese,6588
Dodds Diane,6106
Dohrmann,6516
Dombrovskis,5601
Donchev,6481
Dorfmann,5960
Drăghici,6420
Duda,6538
Duncan,6579
Durand,6324
Dzhambazki,6511
Díaz de Mera García Consuegra,5515
Dăncilă,5829
Echenique,6642
Eck,6501
Ehler,5348
Eickhout,5899
Elissen,6741
Engel,6047
Engström,6703
Epitideios,6669
Erdős,6342
Eriksson,6554
Ernst,6024
Ertug,6014
Estaràs Ferragut,5983
Etheridge,6569
Evans,4954
Evi,6413
Fajon,6080
Farage,4929
Faria,6679
Federley,6601
Ferber,3833
Fernandes,6068
Fernández,6652
Ferrand,6401
Ferrandino,6770
Ferrara,6470
Ferreira,5886
Ferreira Elisa,5427
Ferreira João,5886
Finch,6558
Fisas Ayxelà,5903
Fitto,4880
Fjellner,5256
Flack,6743
Flanagan,6597
Flašíková Beňová,5173
Fleckenstein,6012
Florenz,1508
Fontana,6132
Ford,6104
Forenza,6693
Foster,4957
Fotyga,5472
Fountoulis,6668
Fox,6112
Franz,6775
Freund,6620
Frunzulică,6424
Gabelic,6769
Gabriel,6020
Gahler,4659
Gambús,6615
García Pérez,5417
Gardiazabal Rubial,6130
Gardini,5803
Gasbarra,6454
Gebhardt,3827
Gehrold,6780
Geier,6005
Gentile,6485
Gerbrandy,6098
Gericke,6452
Geringer de Oedenberg,5495
Giegold,5904
Gierek,5497
Gieseke,6441
Gill,6584
Gill CBE,4937
Gill Nathan,6584
Gill Neena,4937
Giménez Barbat,6724
Girauta Vidal,6658
Girling,6111
Giuffrida,6502
Glezos,472
Gloanec Maurin,6772
Goddyn,6450
Goerens,1793
Gollnisch,1380
Gomes,5425
González Peñas,6702
González Pons,6632
Gosiewska,6539
Goulard,6169
Grammatikakis,6688
Grapini,6419
Graswander-Hainz,6720
Griesbeck,5330
Griffin,6580
Grigule,6379
Grigule-Pēterse,6379
Groote,5692
Grossetête,4032
Grzyb,5109
Gräzin,6779
Gräßle,5342
Gróbarczyk,5963
Gualtieri,6063
Guerrero Salom,5941
Guillaume,6107
Guoga,6397
Guteland,6603
Gutiérrez Prieto,6212
Gyürk,5138
Gál,5280
Gáll-Pelcz,6202
Hadjigeorgiou,6076
Halla-aho,6358
Hannan,4959
Hansen,6777
Harkin,5246
Harms,5353
Hautala,4535
Hayes,6596
Hazekamp,6628
Hedh,5261
Hellvig,5715
Helmer,4920
Henkel,6460
Herranz García,5018
Hetman,6534
Heubuch,6486
Hirsch,6043
Hoc,6725
Hoffmann,6479
Hohlmeier,5953
Honeyball,4994
Hookem,6575
Hortefeux,4987
Howarth,6745
Howitt,4103
Hudghton,4655
Huitema,6622
Hyusmenova,5681
Händel,6023
Häusling,5926
Hökmark,5254
Hölvényi,6346
Hübner,5952
Ide,6685
Iglesias,6637
Iotova,5738
Iturgaiz,5516
Ivan,6029
Iwaszkiewicz,6524
