date,code,status,reference,name,baseurl,extensions
2016-06-09,VOT,final,P8_PV(2016)06-09(VOT),Procès-verbal- Résultats des votes,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2016/06-09/liste_presence/P8_PV(2016)06-09(VOT)_FR,pdf|docx
2016-06-08,VOT,final,P8_PV(2016)06-08(VOT),Procès-verbal- Résultats des votes,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2016/06-08/liste_presence/P8_PV(2016)06-08(VOT)_FR,docx
2016-06-07,VOT,final,P8_PV(2016)06-07(VOT),Procès-verbal- Résultats des votes,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2016/06-07/liste_presence/P8_PV(2016)06-07(VOT)_FR,pdf|docx
2016-05-12,VOT,final,P8_PV(2016)05-12(VOT),Procès-verbal- Résultats des votes,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2016/05-12/liste_presence/P8_PV(2016)05-12(VOT)_FR,pdf|docx
2016-05-11,VOT,final,P8_PV(2016)05-11(VOT),Procès-verbal- Résultats des votes,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2016/05-11/liste_presence/P8_PV(2016)05-11(VOT)_FR,pdf|docx
2015-10-14,VOT,final,P8_PV(2015)10-14(VOT),Procès-verbal- Résultats des votes,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2015/10-14/liste_presence/P8_PV(2015)10-14(VOT)_FR,pdf|docx
2015-10-08,VOT,final,P8_PV(2015)10-08(VOT),Procès-verbal- Résultats des votes,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2015/10-08/liste_presence/P8_PV(2015)10-08(VOT)_FR,pdf|docx
2015-10-07,VOT,final,P8_PV(2015)10-07(VOT),Procès-verbal- Résultats des votes,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2015/10-07/liste_presence/P8_PV(2015)10-07(VOT)_FR,pdf|docx
2015-10-06,VOT,final,P8_PV(2015)10-06(VOT),Procès-verbal- Résultats des votes,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2015/10-06/liste_presence/P8_PV(2015)10-06(VOT)_FR,pdf|docx
2015-09-17,VOT,final,P8_PV(2015)09-17(VOT),Procès-verbal- Résultats des votes,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2015/09-17/liste_presence/P8_PV(2015)09-17(VOT)_FR,pdf|docx
2015-07-07,VOT,final,P8_PV(2015)07-07(VOT),Procès-verbal- Résultats des votes,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2015/07-07/liste_presence/P8_PV(2015)07-07(VOT)_FR,pdf|docx
2015-06-11,VOT,final,P8_PV(2015)06-11(VOT),Procès-verbal- Résultats des votes,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2015/06-11/liste_presence/P8_PV(2015)06-11(VOT)_FR,pdf|docx
2015-05-20,VOT,final,P8_PV(2015)05-20(VOT),Procès-verbal- Résultats des votes,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2015/05-20/liste_presence/P8_PV(2015)05-20(VOT)_FR,pdf|docx
2015-04-28,VOT,final,P8_PV(2015)04-28(VOT),Procès-verbal- Résultats des votes,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2015/04-28/liste_presence/P8_PV(2015)04-28(VOT)_FR,pdf|docx
2015-04-15,VOT,final,P8_PV(2015)04-15(VOT),Procès-verbal- Résultats des votes,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2015/04-15/liste_presence/P8_PV(2015)04-15(VOT)_FR,pdf|docx
2015-03-25,VOT,final,P8_PV(2015)03-25(VOT),Procès-verbal- Résultats des votes,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2015/03-25/liste_presence/P8_PV(2015)03-25(VOT)_FR,pdf|docx
2015-03-12,VOT,final,P8_PV(2015)03-12(VOT),Procès-verbal- Résultats des votes,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2015/03-12/liste_presence/P8_PV(2015)03-12(VOT)_FR,pdf|docx
2015-03-11,VOT,final,P8_PV(2015)03-11(VOT),Procès-verbal- Résultats des votes,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2015/03-11/liste_presence/P8_PV(2015)03-11(VOT)_FR,pdf|docx
2015-03-10,VOT,final,P8_PV(2015)03-10(VOT),Procès-verbal- Résultats des votes,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2015/03-10/liste_presence/P8_PV(2015)03-10(VOT)_FR,pdf|docx
2015-02-12,VOT,final,P8_PV(2015)02-12(VOT),Procès-verbal- Résultats des votes,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2015/02-12/liste_presence/P8_PV(2015)02-12(VOT)_FR,pdf|docx
2015-02-11,VOT,final,P8_PV(2015)02-11(VOT),Procès-verbal- Résultats des votes,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2015/02-11/liste_presence/P8_PV(2015)02-11(VOT)_FR,pdf|docx
2015-01-15,VOT,final,P8_PV(2015)01-15(VOT),Procès-verbal- Résultats des votes,http://www.europarl.europa.eu/RegData/seance_pleniere/proces_verbal/2015/01-15/liste_presence/P8_PV(2015)01-15(VOT)_FR,pdf|docx
